source,external_id,title,description,transaction,property_type,price,expenses,deposit,district,municipality,parish,address,bedrooms,bathrooms,area_m2,furnished,bills_included,students_allowed,student_only,pets_allowed,accessible,latitude,longitude,image_url,url,contact,published_at,is_demo
Dados de demonstração,demo-001,Quarto mobilado perto do Polo Universitário,Exemplo fictício para testar filtros e favoritos.,Arrendar,Quarto,390,45,390,Porto,Porto,Paranhos,Zona da Asprela,1,1,16,Sim,Sim,Sim,Não,Não,Não,41.1779,-8.5983,,https://example.com/habitua/demo-001,,2026-08-06T09:30:00+00:00,Sim
Feed parceiro de demonstração,demo-001b,Quarto na Asprela com despesas incluídas,Exemplo fictício duplicado publicado noutra fonte.,Arrendar,Quarto,390,45,390,Porto,Porto,Paranhos,Zona da Asprela,1,1,16,Sim,Sim,Sim,Não,Não,Não,41.1779,-8.5983,,https://example.com/habitua/demo-001b,,2026-08-06T10:00:00+00:00,Sim
Dados de demonstração,demo-002,Estúdio junto à Trindade,Exemplo fictício com cozinha equipada.,Arrendar,Estúdio,760,70,1520,Porto,Porto,Cedofeita,Zona da Trindade,0,1,31,Sim,Não,Sim,Não,Sim,Não,41.1514,-8.6091,,https://example.com/habitua/demo-002,,2026-08-05T15:00:00+00:00,Sim
Dados de demonstração,demo-003,T2 para partilhar em Matosinhos,Exemplo fictício a dez minutos do metro.,Arrendar,Apartamento,980,65,980,Porto,Matosinhos,Matosinhos e Leça,Zona de Matosinhos Sul,2,2,82,Sim,Não,Sim,Não,Sim,Sim,41.1802,-8.6924,,https://example.com/habitua/demo-003,,2026-08-03T11:00:00+00:00,Sim
Dados de demonstração,demo-004,Quarto individual em residência,Exemplo fictício de uma residência para estudantes.,Arrendar,Residência universitária,455,0,455,Coimbra,Coimbra,Santo António dos Olivais,Polo II,1,1,14,Sim,Sim,Sim,Sim,Não,Sim,40.1867,-8.4148,,https://example.com/habitua/demo-004,,2026-08-04T08:00:00+00:00,Sim
Dados de demonstração,demo-005,T1 mobilado em Braga,Exemplo fictício próximo da universidade.,Arrendar,Apartamento,640,35,640,Braga,Braga,Gualtar,Zona de Gualtar,1,1,52,Sim,Não,Sim,Não,Não,Não,41.5596,-8.3967,,https://example.com/habitua/demo-005,,2026-08-01T17:45:00+00:00,Sim
Dados de demonstração,demo-006,Quarto com varanda em Aveiro,Exemplo fictício com internet incluída.,Arrendar,Quarto,345,25,345,Aveiro,Aveiro,Glória e Vera Cruz,Zona da Universidade,1,1,18,Sim,Sim,Sim,Não,Não,Não,40.6304,-8.6570,,https://example.com/habitua/demo-006,,2026-08-02T13:20:00+00:00,Sim
Dados de demonstração,demo-007,T0 no centro de Lisboa,Exemplo fictício para testar resultados de preço elevado.,Arrendar,Estúdio,1100,90,2200,Lisboa,Lisboa,Arroios,Zona dos Anjos,0,1,30,Sim,Não,Sim,Não,Não,Não,38.7260,-9.1348,,https://example.com/habitua/demo-007,,2026-07-31T16:10:00+00:00,Sim
Dados de demonstração,demo-008,Quarto económico com pagamento urgente,Exemplo fictício suspeito: proprietário no estrangeiro e pagar antes da visita.,Arrendar,Quarto,160,0,320,Lisboa,Lisboa,Avenidas Novas,Localização não indicada,1,1,14,Sim,Sim,Sim,Não,Não,Não,38.7353,-9.1450,,https://example.com/habitua/demo-008,,2026-08-06T18:10:00+00:00,Sim
Dados de demonstração,demo-009,T3 familiar perto de transportes,Exemplo fictício adequado a estudantes ou família.,Arrendar,Apartamento,1250,80,1250,Faro,Faro,Faro,Zona da Penha,3,2,108,Não,Não,Sim,Não,Sim,Sim,37.0271,-7.9291,,https://example.com/habitua/demo-009,,2026-07-29T10:40:00+00:00,Sim
Dados de demonstração,demo-010,T1 renovado para comprar,Exemplo fictício de imóvel para compra.,Comprar,Apartamento,185000,45,0,Porto,Vila Nova de Gaia,Mafamude,Zona de Mafamude,1,1,58,Não,Não,Não,Não,Sim,Não,41.1239,-8.6053,,https://example.com/habitua/demo-010,,2026-08-04T14:00:00+00:00,Sim
Dados de demonstração,demo-011,Moradia T3 com pequeno jardim,Exemplo fictício para testar compra de moradia.,Comprar,Moradia,279000,0,0,Braga,Braga,Nogueira,Zona de Nogueira,3,2,145,Não,Não,Não,Não,Sim,Não,41.5298,-8.4121,,https://example.com/habitua/demo-011,,2026-07-28T12:00:00+00:00,Sim
Dados de demonstração,demo-012,T2 próximo da Universidade de Coimbra,Exemplo fictício de apartamento para comprar.,Comprar,Apartamento,215000,38,0,Coimbra,Coimbra,Santo António dos Olivais,Solum,2,1,84,Não,Não,Não,Não,Não,Sim,40.2072,-8.4048,,https://example.com/habitua/demo-012,,2026-07-30T09:15:00+00:00,Sim
Dados de demonstração,demo-013,Quarto amplo em Setúbal,Exemplo fictício com despesas incluídas.,Arrendar,Quarto,370,0,370,Setúbal,Setúbal,São Sebastião,Zona de São Sebastião,1,1,19,Sim,Sim,Sim,Não,Sim,Não,38.5280,-8.8748,,https://example.com/habitua/demo-013,,2026-08-05T20:15:00+00:00,Sim
